[GC (Allocation Failure) [DefNew: 13129K->1600K(14784K), 0.0039379 secs] 13129K->1834K(47552K), 0.0039679 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2025-06-11 12:06:53.745  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.745  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.746  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.746  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.746  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.746  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.747  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.747  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.747  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.747  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.747  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.747  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.748  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.748  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.748  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.748  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.748  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.748  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.748  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.748  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.749  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.749  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.749  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.749  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.749  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.749  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.750  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.750  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.750  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.750  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.750  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.750  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.750  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.750  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.751  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.751  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.752  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.752  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.752  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.752  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.848  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.848  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.849  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.849  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.849  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.849  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.849  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.849  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.849  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.850  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.850  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.850  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.850  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.850  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.851  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.851  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.852  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.852  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.924  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.924  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.929  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.929  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.929  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.929  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.929  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.929  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.930  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.930  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.930  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.930  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.930  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.930  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.931  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.931  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.931  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.931  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
[GC (Allocation Failure) [DefNew: 50721K->2604K(53568K), 0.0110471 secs] 150928K->103167K(172360K), 0.0110767 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2025-06-11 12:06:53.948  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.948  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.948  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.948  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.948  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.948  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.949  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.949  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.949  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.949  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.949  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.949  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.950  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.950  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.950  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.950  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.950  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.950  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.950  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.950  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.950  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.950  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.951  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.951  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.951  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.951  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.951  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.951  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.951  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.951  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.951  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.952  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.952  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.952  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.953  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.953  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.953  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.953  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.960  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.960  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.961  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.961  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.961  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.961  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:53.963  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.023  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.024  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.024  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.024  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.024  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.029  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.029  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.029  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.029  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.029  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.030  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.030  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.030  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.030  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.030  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.030  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.030  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.031  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.031  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.031  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.031  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.031  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.031  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.032  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.032  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.032  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.032  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.032  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.033  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.033  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.033  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.033  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Start executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
2025-06-11 12:06:54.033  INFO 1 --- [           main] s.g.m.s.m.a.ScDefaultMonitorInterceptor  : Stop executing the springfox.documentation.schema.property.ModelSpecificationFactory.create method
